i,n,lg n,lg(lg n),n*lg n,(lg n)^(lg n),sqrt(lg n),2^lg n,(lg n)!,sqrt(2)^lg n,n^3,n!
24,24,4.584963,2.196910,110.039100,1076.960534,2.141253,24,120,4.898979,13824,-
25,25,4.643856,2.215323,116.096405,1249.939715,2.154961,25,120,5.000000,15625,-
26,26,4.700440,2.232796,122.211433,1443.266204,2.168050,26,120,5.099020,17576,-
27,27,4.754888,2.249411,128.381963,1658.539022,2.180570,27,120,5.196152,19683,-
28,28,4.807355,2.265243,134.605938,1897.426945,2.192568,28,120,5.291503,21952,-
29,29,4.857981,2.280357,140.881449,2161.669456,2.204083,29,120,5.385165,24389,-
30,30,4.906891,2.294809,147.206718,2453.077703,2.215150,30,120,5.477226,27000,-
31,31,4.954196,2.308651,153.580086,2773.535445,2.225802,31,120,5.567764,29791,-
32,32,5.000000,2.321928,160.000000,3125.000000,2.236068,32,120,5.656854,32768,-
33,33,5.044394,2.334681,166.465006,3509.503184,2.245973,33,720,5.744563,35937,-
34,34,5.087463,2.346946,172.973737,3929.152250,2.255540,34,720,5.830952,39304,-
35,35,5.129283,2.358757,179.524906,4386.130822,2.264792,35,720,5.916080,42875,-
36,36,5.169925,2.370143,186.117300,4882.699824,2.273747,36,720,6.000000,46656,-
37,37,5.209453,2.381132,192.749775,5421.198412,2.282423,37,720,6.082763,50653,-
38,38,5.247928,2.391748,199.421246,6004.044890,2.290836,38,720,6.164414,54872,-
39,39,5.285402,2.402013,206.130687,6633.737637,2.299000,39,720,6.244998,59319,-
40,40,5.321928,2.411949,212.877124,7312.856023,2.306930,40,720,6.324555,64000,-
41,41,5.357552,2.421574,219.659632,8044.061321,2.314639,41,720,6.403124,68921,-
42,42,5.392317,2.430905,226.477332,8830.097624,2.322136,42,720,6.480741,74088,-
43,43,5.426265,2.439959,233.329384,9673.792746,2.329434,43,720,6.557439,79507,-
44,44,5.459432,2.448751,240.214991,10578.059136,2.336543,44,720,6.633250,85184,-
45,45,5.491853,2.457293,247.133389,11545.894774,2.343470,45,720,6.708204,91125,-
46,46,5.523562,2.465599,254.083850,12580.384079,2.350226,46,720,6.782330,97336,-
47,47,5.554589,2.473680,261.065676,13684.698801,2.356818,47,720,6.855655,103823,-
48,48,5.584963,2.481548,268.078200,14862.098919,2.363253,48,720,6.928203,110592,-
49,49,5.614710,2.489211,275.120782,16115.933537,2.369538,49,720,7.000000,117649,-
50,50,5.643856,2.496681,282.192809,17449.641770,2.375680,50,720,7.071068,125000,-
51,51,5.672425,2.503966,289.293692,18866.753636,2.381685,51,720,7.141428,132651,-
52,52,5.700440,2.511073,296.422865,20370.890943,2.387559,52,720,7.211103,140608,-
53,53,5.727920,2.518011,303.579784,21965.768170,2.393307,53,720,7.280110,148877,-
54,54,5.754888,2.524788,310.763925,23655.193355,2.398935,54,720,7.348469,157464,-
55,55,5.781360,2.531409,317.974784,25443.068970,2.404446,55,720,7.416198,166375,-
56,56,5.807355,2.537881,325.211876,27333.392801,2.409845,56,720,7.483315,175616,-
57,57,5.832890,2.544211,332.474731,29330.258827,2.415138,57,720,7.549834,185193,-
58,58,5.857981,2.550404,339.762898,31437.858091,2.420327,58,720,7.615773,195112,-
59,59,5.882643,2.556464,347.075940,33660.479576,2.425416,59,720,7.681146,205379,-
60,60,5.906891,2.562399,354.413436,36002.511074,2.430410,60,720,7.745967,216000,-
61,61,5.930737,2.568211,361.774978,38468.440055,2.435311,61,720,7.810250,226981,-
62,62,5.954196,2.573907,369.160171,41062.854536,2.440122,62,720,7.874008,238328,-
63,63,5.977280,2.579489,376.568635,43790.443949,2.444848,63,720,7.937254,250047,-
64,64,6.000000,2.584963,384.000000,46656.000000,2.449490,64,720,8.000000,262144,-
65,65,6.022368,2.590331,391.453908,49664.417537,2.454051,65,5040,8.062258,274625,-
66,66,6.044394,2.595598,398.930012,52820.695408,2.458535,66,5040,8.124038,287496,-
67,67,6.066089,2.600767,406.427976,56129.937324,2.462943,67,5040,8.185353,300763,-
68,68,6.087463,2.605841,413.947473,59597.352715,2.467278,68,5040,8.246211,314432,-
69,69,6.108524,2.610824,421.488188,63228.257587,2.471543,69,5040,8.306624,328509,-
70,70,6.129283,2.615718,429.049811,67028.075382,2.475739,70,5040,8.366600,343000,-
71,71,6.149747,2.620527,436.632045,71002.337824,2.479868,71,5040,8.426150,357911,-
72,72,6.169925,2.625253,444.234600,75156.685783,2.483933,72,5040,8.485281,373248,-
73,73,6.189825,2.629899,451.857193,79496.870115,2.487936,73,5040,8.544004,389017,-
74,74,6.209453,2.634466,459.499549,84028.752523,2.491877,74,5040,8.602325,405224,-
75,75,6.228819,2.638959,467.161402,88758.306400,2.495760,75,5040,8.660254,421875,-
76,76,6.247928,2.643378,474.842491,93691.617678,2.499585,76,5040,8.717798,438976,-
77,77,6.266787,2.647726,482.542564,98834.885678,2.503355,77,5040,8.774964,456533,-
78,78,6.285402,2.652005,490.261373,104194.423953,2.507070,78,5040,8.831761,474552,-
79,79,6.303781,2.656217,497.998679,109776.661133,2.510733,79,5040,8.888194,493039,-
80,80,6.321928,2.660365,505.754248,115588.141769,2.514344,80,5040,8.944272,512000,-
81,81,6.339850,2.664449,513.527850,121635.527178,2.517906,81,5040,9.000000,531441,-
82,82,6.357552,2.668471,521.319264,127925.596281,2.521419,82,5040,9.055385,551368,-
83,83,6.375039,2.672434,529.128273,134465.246443,2.524884,83,5040,9.110434,571787,-
84,84,6.392317,2.676339,536.954664,141261.494318,2.528303,84,5040,9.165151,592704,-
85,85,6.409391,2.680187,544.798230,148321.476683,2.531677,85,5040,9.219544,614125,-
86,86,6.426265,2.683980,552.658769,155652.451275,2.535008,86,5040,9.273618,636056,-
87,87,6.442943,2.687720,560.536084,163261.797633,2.538295,87,5040,9.327379,658503,-
88,88,6.459432,2.691407,568.429982,171157.017928,2.541541,88,5040,9.380832,681472,-
89,89,6.475733,2.695044,576.340275,179345.737800,2.544746,89,5040,9.433981,704969,-
90,90,6.491853,2.698630,584.266779,187835.707195,2.547912,90,5040,9.486833,729000,-
91,91,6.507795,2.702169,592.209312,196634.801193,2.551038,91,5040,9.539392,753571,-
92,92,6.523562,2.705660,600.167700,205751.020845,2.554126,92,5040,9.591663,778688,-
93,93,6.539159,2.709105,608.141769,215192.494003,2.557178,93,5040,9.643651,804357,-
94,94,6.554589,2.712505,616.131352,224967.476148,2.560193,94,5040,9.695360,830584,-
95,95,6.569856,2.715862,624.136283,235084.351225,2.563173,95,5040,9.746794,857375,-
96,96,6.584963,2.719175,632.156400,245551.632469,2.566118,96,5040,9.797959,884736,-
97,97,6.599913,2.722447,640.191546,256377.963235,2.569030,97,5040,9.848858,912673,-
98,98,6.614710,2.725678,648.241565,267572.117824,2.571908,98,5040,9.899495,941192,-
99,99,6.629357,2.728869,656.306305,279143.002311,2.574754,99,5040,9.949874,970299,-
100,100,6.643856,2.732021,664.385619,291099.655375,2.577568,100,5040,10.000000,1000000,-
